16	22	1
22	16	1
16	21	1
21	16	1
16	8	1
8	16	1
22	29	1
29	22	1
22	18	1
18	22	1
4	8	1
8	4	1
4	26	1
26	4	1
4	29	1
29	4	1
8	12	1
12	8	1
29	20	1
20	29	1
23	24	1
24	23	1
23	30	1
30	23	1
23	28	1
28	23	1
24	25	1
25	24	1
24	9	1
9	24	1
6	17	1
17	6	1
6	26	1
26	6	1
6	2	1
2	6	1
17	32	1
32	17	1
17	14	1
14	17	1
26	27	1
27	26	1
5	19	1
19	5	1
5	21	1
21	5	1
5	20	1
20	5	1
19	9	1
9	19	1
19	12	1
12	19	1
30	1	1
1	30	1
30	14	1
14	30	1
9	27	1
27	9	1
18	1	1
1	18	1
18	7	1
7	18	1
10	21	1
21	10	1
10	11	1
11	10	1
10	3	1
3	10	1
1	13	1
13	1	1
3	15	1
15	3	1
3	13	1
13	3	1
15	31	1
31	15	1
15	13	1
13	15	1
11	25	1
25	11	1
11	28	1
28	11	1
25	2	1
2	25	1
28	31	1
31	28	1
2	31	1
31	2	1
14	27	1
27	14	1
7	20	1
20	7	1
7	32	1
32	7	1
32	12	1
12	32	1
